Vehicle,Description,StartLocation,EndLocation,MotionDuration,Mileage,Violations,StationaryDuration,NightDriveDuration,Stops,MaxSpeed,StopDuration,TotalDriveTime,Overrevving,Freewheeling,HarshBraking,HarshAcceleration,IdleTime,TotalWeekendMileage,NumberofNightTimeStops,NightDriveMileage,AverageSpeed,BatteryConnected,BatteryDisconnected,MaxDriving
KCU 563U,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 492D,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KCX 961Y,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCY 477D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDM 325H,,Barclays Bank Kasarani Road,Barclays Bank Kasarani Road,00:00:00,150,58,00:00:00,00:01:28,3,139,00:18:49,00:04:26,0,0,0,0,187,150,2,51,34,0,0,0
KCZ 560G,,D.Os Office Kayole ,D.Os Office Kayole ,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KCU 557U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 547U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 951V,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KCU 549U,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDJ 215D,,Total Juja Road,Total Juja Road,00:00:00,0,0,00:00:00,00:00:00,1,0,00:23:58,00:00:00,0,0,0,0,0,0,1,0,0,0,0,0
KDB 454Z,,Caltex Outer Ring Kangundo Road Junction,Caltex Outer Ring Kangundo Road Junction,00:00:00,146,23,00:00:00,00:02:17,1,86,00:16:15,00:06:29,0,0,0,0,217,146,2,79,23,0,0,0
KCX 519Z,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 561M,,Pesa Point Atm Ongata Rongai ,Pesa Point Atm Ongata Rongai ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 112W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDH 764C,,Palacina Interiors Kitale Lane,Palacina Interiors Kitale Lane,00:00:00,208,10,00:00:00,00:07:59,1,73,00:05:47,00:16:39,0,0,0,0,299,208,1,99,12,0,0,0
KDC 135K,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 821E,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 472D,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDD 117W,,Great Jubilee Shopping Center Langata Road,Great Jubilee Shopping Center Langata Road,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDC 527M,,Muslim Centre ,Muslim Centre ,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
KDB 455Z,,Athi River Epz,Athi River Epz,00:00:00,0,0,00:00:00,00:00:00,0,0,00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
